Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1704095100000,42446.71000000,42470.00000000,42432.56000000,42463.50000000,51.69519000,1704095399999,2194709.69653220,2129,29.64244000,1258350.86929100,0
1704095400000,42463.50000000,42470.82000000,42463.10000000,42470.81000000,26.74081000,1704095699999,1135584.65845920,1524,18.39978000,781363.08710100,0
1704095700000,42470.81000000,42492.47000000,42466.71000000,42492.46000000,36.54524000,1704095999999,1552383.49323590,1821,17.91488000,761020.79589080,0
1704096000000,42492.46000000,42529.91000000,42452.58000000,42460.00000000,66.89441000,1704096299999,2842639.11032690,3640,24.29502000,1032320.95002750,0
1704096300000,42460.00000000,42484.89000000,42459.99000000,42484.89000000,27.37371000,1704096599999,1162731.34760710,1783,14.75728000,626782.31953900,0
1704096600000,42484.89000000,42522.02000000,42484.88000000,42514.28000000,42.90422000,1704096899999,1823809.43463850,1956,20.29979000,862801.60722370,0
1704096900000,42514.28000000,42514.31000000,42507.98000000,42514.21000000,23.44207000,1704097199999,996593.33016620,1490,9.34058000,397085.78788990,0
1704097200000,42514.22000000,42537.53000000,42510.84000000,42510.84000000,35.56674000,1704097499999,1512554.76762540,1998,20.60601000,876290.90174250,0
1704097500000,42510.84000000,42510.85000000,42477.60000000,42482.00000000,34.46125000,1704097799999,1464176.60480020,2000,12.54207000,532824.17891230,0
1704097800000,42482.00000000,42504.79000000,42461.10000000,42461.10000000,36.95204000,1704098099999,1569962.59329530,2306,12.08610000,513518.14426800,0
1704098100000,42461.10000000,42490.32000000,42461.10000000,42472.51000000,21.65574000,1704098399999,919893.76793850,1832,9.88031000,419680.81836330,0
1704098400000,42472.51000000,42493.68000000,42472.50000000,42492.91000000,30.91991000,1704098699999,1313722.19253710,1650,19.32211000,820930.36638120,0
1704098700000,42492.91000000,42547.33000000,42489.95000000,42531.32000000,36.51907000,1704098999999,1552689.28768100,2466,21.30838000,905894.44308500,0
1704099000000,42531.31000000,42544.38000000,42517.63000000,42544.37000000,29.55121000,1704099299999,1256703.71654810,1939,15.38523000,654300.86938700,0
1704099300000,42544.37000000,42556.50000000,42544.37000000,42549.99000000,40.95328000,1704099599999,1742555.91818340,1986,22.84362000,971988.03650250,0
1704099600000,42550.00000000,42569.48000000,42548.00000000,42569.48000000,34.45314000,1704099899999,1466402.82527520,2294,18.89161000,804041.45682630,0
1704099900000,42569.48000000,42569.48000000,42548.00000000,42548.00000000,50.11204000,1704100199999,2132484.44463880,2613,21.36664000,909179.56937530,0
1704100200000,42548.01000000,42577.88000000,42537.18000000,42574.24000000,66.80085000,1704100499999,2842664.37752090,2286,40.46544000,1722016.41203760,0
1704100500000,42574.24000000,42599.28000000,42574.20000000,42590.72000000,64.60980000,1704100799999,2751501.88245000,2858,39.14279000,1666867.46469840,0
1704100800000,42590.73000000,42647.05000000,42590.72000000,42647.04000000,82.19106000,1704101099999,3502635.00571500,3879,55.39991000,2360890.63888060,0
1704101100000,42647.05000000,42658.44000000,42588.00000000,42588.01000000,83.25480000,1704101399999,3549334.65608480,5313,44.83600000,1911641.02382950,0
1704101400000,42588.01000000,42660.00000000,42588.00000000,42659.54000000,79.38069000,1704101699999,3383503.98079540,2887,40.06112000,1707695.96412960,0
1704101700000,42659.53000000,42699.32000000,42648.00000000,42691.52000000,158.28784000,1704101999999,6755779.01464740,5236,99.87522000,4262853.61492600,0
1704102000000,42691.51000000,42692.24000000,42631.69000000,42639.02000000,100.44609000,1704102299999,4284671.12659570,4009,33.04403000,1409482.57667110,0
1704102300000,42639.02000000,42690.00000000,42622.29000000,42636.40000000,83.06555000,1704102599999,3543009.36361050,3571,32.28864000,1377291.16630130,0
1704102600000,42636.40000000,42651.10000000,42620.54000000,42650.15000000,39.03884000,1704102899999,1664452.97354400,2563,17.60673000,750654.32000060,0
1704102900000,42650.16000000,42650.16000000,42621.60000000,42649.69000000,37.98421000,1704103199999,1619469.50111690,2176,17.85408000,761182.61038390,0
1704103200000,42649.69000000,42664.50000000,42645.69000000,42645.69000000,64.74272000,1704103499999,2761595.04747830,2436,22.49594000,959545.32836460,0
1704103500000,42645.70000000,42692.23000000,42645.69000000,42654.00000000,63.74115000,1704103799999,2720168.59220900,2422,38.20372000,1630206.47814090,0
1704103800000,42654.00000000,42673.08000000,42651.10000000,42663.27000000,34.92769000,1704104099999,1490085.62183270,2246,16.60310000,708282.03916800,0
1704104100000,42663.27000000,42676.72000000,42628.00000000,42636.42000000,92.45502000,1704104399999,3943275.35821270,4180,43.58389000,1858866.50905100,0
1704104400000,42636.41000000,42681.10000000,42636.41000000,42680.21000000,83.39955000,1704104699999,3557900.61533850,3146,47.91556000,2044013.82353120,0
1704104700000,42680.21000000,42708.93000000,42662.11000000,42666.42000000,69.44054000,1704104999999,2964188.97979240,2998,30.74233000,1312452.23805010,0
1704105000000,42666.41000000,42707.59000000,42666.41000000,42692.47000000,47.75589000,1704105299999,2038491.48657630,2506,26.98726000,1151934.37712620,0
1704105300000,42692.47000000,42692.47000000,42683.86000000,42683.86000000,28.76368000,1704105599999,1227882.10143390,1554,12.77514000,545356.48386270,0
1704105600000,42683.87000000,42717.14000000,42681.32000000,42712.00000000,151.15737000,1704105899999,6454825.79489950,2925,132.26272000,5648029.45846000,0
1704105900000,42711.99000000,42734.00000000,42703.49000000,42723.79000000,88.17560000,1704106199999,3766592.54269570,3267,36.12875000,1543224.51385360,0
1704106200000,42723.80000000,42749.36000000,42717.54000000,42717.54000000,77.79465000,1704106499999,3324821.32752080,3011,31.48315000,1345532.75671510,0
1704106500000,42717.55000000,42717.55000000,42691.10000000,42691.10000000,54.46465000,1704106799999,2325576.75978870,2261,19.08351000,814813.28368310,0
1704106800000,42691.10000000,42756.55000000,42688.38000000,42754.00000000,106.44522000,1704107099999,4548872.33250240,4020,64.35762000,2750027.74479020,0
1704107100000,42753.99000000,42762.39000000,42744.00000000,42750.31000000,104.89820000,1704107399999,4484764.69737740,3525,59.85242000,2558883.61003200,0
1704107400000,42750.32000000,42750.32000000,42695.16000000,42695.16000000,65.75187000,1704107699999,2809310.23940090,6105,24.58609000,1050654.30694280,0
1704107700000,42695.16000000,42720.00000000,42691.10000000,42693.99000000,47.28046000,1704107999999,2019005.41489310,3643,22.42619000,957651.97644000,0
1704108000000,42694.00000000,42694.00000000,42653.33000000,42665.14000000,87.79570000,1704108299999,3745869.60123680,4018,48.00299000,2048113.62714620,0
1704108300000,42665.13000000,42698.00000000,42661.00000000,42681.10000000,53.40938000,1704108599999,2279858.10060700,2462,17.17638000,733197.34969030,0
